Ctot,Cdil
17.43456,9.9204
10.08013,9.22181
15.13152,10.20637
11.63231,9.47949
24.18801,10.69698
11.76871,8.83343
27.79091,10.15149
19.3515,9.69088
14.90563,9.25123
35.34714,9.10611
13.92431,8.36694
10.69685,8.99142
13.94736,10.78611
12.62566,9.38915
11.92768,9.18473
12.36939,8.40915
15.02755,8.20981
10.31297,9.11166
18.52516,9.39531
12.17832,8.04537
13.02448,7.95696
22.66498,10.31755
17.87037,9.36197
14.84839,9.77097
7.08551,7.25584
3.63525,3.45785
3.14976,3.3495
1.65539,1.67864
7.58209,6.75936
4.23062,5.50572
7.21641,8.35198
3.37809,3.09236
4.82095,5.56114
3.89224,3.81928
3.19973,2.93707
3.17626,3.65799
2.98335,2.43055
2.79015,3.14599
3.63625,3.81226
6.5123,6.47735
1.9611,2.25879
1.52902,1.51048
5.75805,5.72326
1.99105,2.80377
7.33513,7.5087
1.99588,1.73186
4.28153,4.14099
8.18805,8.70682
7.96173,7.83893
1.52364,1.31067
8.25849,8.07217
2.27342,2.41191
6.07776,6.89625
5.74672,6.31335
5.73501,6.17784
6.0337,6.12913
7.33931,6.99857
3.0749,3.07955
5.84806,6.31429
4.19504,4.82781
1.95897,2.40462
4.74157,4.39794
2.63454,2.61474
2.48582,2.76369
1.14548,1.4866
