Ctot,Cdil,PS
1.58724,1.55441,No
2.64539,1.61122,No
7.53277,7.36338,No
1.78426,2.23135,No
3.6169,3.47456,No
1.64952,1.3819,No
3.67124,3.8745,No
1.12641,1.48835,No
2.10861,2.13504,No
2.09842,2.2992,No
5.18193,6.03275,No
4.32208,3.92004,No
7.56897,7.46583,No
1.17244,1.13571,No
4.4466,4.39895,No
2.28443,2.31631,No
1.00147,0.70935,No
2.12773,2.14383,No
2.05794,2.07173,No
3.9755,4.12241,No
4.15032,4.87358,No
2.2777,2.4107,No
4.26651,4.66755,No
10.39618,6.9669,Yes
13.58146,7.67565,Yes
10.24934,7.91112,Yes
11.5938,8.89519,Yes
8.65077,7.83219,Yes
12.6245,8.43059,Yes
11.84763,6.91371,Yes
12.29567,8.3832,Yes
11.4714,7.88967,Yes
15.68118,8.61222,Yes
14.29012,8.29324,Yes
